uniqueName,superclasses,subclasses,description
CONTROLLED VALVE ACTUATOR,"INSTRUMENTATION ITEM, CONTROLLED ACTUATOR",,A &lt;CONTROLLED VALVE ACTUATOR&gt; is an &lt;INSTRUMENTATION ITEM&gt; and a &lt;CONTROLLED ACTUATOR&gt; intended to change and/or maintain the position of the closing member of a valve
MAGNETIC ACTUATOR,"INSTRUMENTATION ITEM, CONTROLLED ACTUATOR",,A &lt;MAGNETIC ACTUATOR&gt; is an &lt;INSTRUMENTATION ITEM&gt; and a &lt;CONTROLLED ACTUATOR&gt; where the force is provided by magnetic forces
FIRE ALARM BUTTON,ACTUATOR,"MANUAL FIRE ALARM BUTTON, ADDRESSABLE FIRE ALARM BUTTON",A &lt;FIRE ALARM BUTTON&gt; is an &lt;ARTEFACT&gt; and an &lt;ACTUATOR&gt; of an &lt;FIRE ALARM&gt;
MANUAL FIRE ALARM BUTTON,FIRE ALARM BUTTON,,A &lt;MANUAL FIRE ALARM BUTTON&gt; is a &lt;FIRE ALARM BUTTON&gt; and a &lt;MANUAL CALL POINT&gt; that is intended to be activated manually
ADDRESSABLE FIRE ALARM BUTTON,"FIRE ALARM BUTTON, ADDRESSER",,An &lt;ADDRESSABLE FIRE ALARM BUTTON&gt; is a &lt;FIRE ALARM BUTTON&gt; and an &lt;ADDRESSER&gt; that can be identified by an address or a name
FLANGE MOUNTED ACTUATOR,ACTUATOR,,A &lt;FLANGE MOUNTED ACTUATOR&gt; is an &lt;ARTEFACT&gt; and an &lt;ACTUATOR&gt; that is equipped with a flange for mounting on to the driven equipment
FULL-TURN ACTUATOR,ACTUATOR,,A &lt;FULL-TURN ACTUATOR&gt; is an &lt;ARTEFACT&gt;  and an &lt;ACTUATOR&gt; that has the capability of turning 360 degrees or more
LINEAR ACTUATOR,ACTUATOR,"LINEAR MANUAL ACTUATOR, LINEAR PNEUMATIC ACTUATOR, LINEAR ELECTRIC ACTUATOR, LINEAR HYDRAULIC ACTUATOR, LINEAR ELECTRO-HYDRAULIC ACTUATOR",A &lt;LINEAR ACTUATOR&gt; is an &lt;ARTEFACT&gt; and an &lt;ACTUATOR&gt; causing a linear motion
LINEAR MANUAL ACTUATOR,"LINEAR ACTUATOR, MANUAL ACTUATOR",,A &lt;LINEAR MANUAL ACTUATOR&gt; is a &lt;LINEAR ACTUATOR&gt; and an &lt;MANUAL ACTUATOR&gt;
LINEAR ELECTRIC ACTUATOR,LINEAR ACTUATOR,,A &lt;LINEAR ELECTRIC ACTUATOR&gt; is a &lt;LINEAR ACTUATOR&gt; and an &lt;ELECTRIC ACTUATOR&gt;
LINEAR ELECTRO-HYDRAULIC ACTUATOR,LINEAR ACTUATOR,,A &lt;LINEAR ELECTRO-HYDRAULIC ACTUATOR&gt; is a &lt;LINEAR ACTUATOR&gt; and an &lt;ELECTRO-HYDRAULIC ACTUATOR&gt;
LINEAR HYDRAULIC ACTUATOR,LINEAR ACTUATOR,,A &lt;LINEAR HYDRAULIC ACTUATOR&gt; is a &lt;HYDRAULIC ACTUATOR&gt; and a &lt;LINEAR ACTUATOR&gt;
LINEAR PNEUMATIC ACTUATOR,LINEAR ACTUATOR,,A &lt;LINEAR PNEUMATIC ACTUATOR&gt; is a &lt;LINEAR ACTUATOR&gt; and a &lt;PNEUMATIC ACTUATOR&gt;
MANUAL ACTUATOR,ACTUATOR,"MANUAL CALL POINT, LINEAR MANUAL ACTUATOR, CONTROL VALVE ACTUATOR WITH HANDWHEEL, ROTARY MANUAL ACTUATOR, HANDWHEEL, BUTTON, BREAK GLASS UNIT, MANUAL DELUGE FIREWATER RELEASE",A &lt;MANUAL ACTUATOR&gt; is an &lt;ARTEFACT&gt; and an &lt;ACTUATOR&gt; which action has to be trigged manually
CONTROL VALVE ACTUATOR WITH HANDWHEEL,MANUAL ACTUATOR,,A &lt;CONTROL VALVE ACTUATOR WITH HANDWHEEL&gt; is a &lt;MANUAL ACTUATOR&gt; in a case where a manual override is required
ROTARY MANUAL ACTUATOR,"ROTARY ACTUATOR, MANUAL ACTUATOR",,A &lt;ROTARY MANUAL ACTUATOR&gt; is a &lt;ROTARY ACTUATOR&gt; and an &lt;MANUAL ACTUATOR&gt;
BREAK GLASS UNIT,MANUAL ACTUATOR,,A &lt;BREAK GLASS UNIT&gt; is a &lt;MANUAL ACTUATOR&gt; for actuating an alarm system that requires a person to break the glass cover
MANUAL DELUGE FIREWATER RELEASE,MANUAL ACTUATOR,,A &lt;MANUAL DELUGE FIREWATER RELEASE&gt; is a &lt;MANUAL ACTUATOR&gt; that is manually operated and that starts a firewater deluge system
HANDWHEEL,MANUAL ACTUATOR,,"A &lt;HANDWHEEL&gt; is a &lt;MANUAL ACTUATOR&gt; that typically consists of a rim connected to a hub by spokes, which is used to manually operate another physical object, requiring the wheel to be turned"
MANUAL CALL POINT,MANUAL ACTUATOR,,A &lt;MANUAL CALL POINT&gt; is a &lt;MANUAL ACTUATOR&gt; for manual release if fire prevention is required
BUTTON,MANUAL ACTUATOR,,"A &lt;BUTTON&gt; is a &lt;MANUAL ACTUATOR&gt; that is a control device of a push-button switch which moves under manual pressure, generally in the direction of the axis of the button"
ON-OFF ACTUATOR,ACTUATOR,,"An &lt;ON-OFF ACTUATOR&gt; is an &lt;ARTEFACT&gt; and an &lt;ACTUATOR&gt; that can only take two positions, fully opened or fully closed"
PART TURN ACTUATOR,ACTUATOR,,A &lt;PART TURN ACTUATOR&gt; is an &lt;ARTEFACT&gt; and a &lt;ACTUATOR&gt; that can turn less than 360 degrees
RACK AND PINION ACTUATOR,ACTUATOR,,A &lt;RACK AND PINION ACTUATOR&gt; is an &lt;ARTEFACT&gt; and an &lt;ACTUATOR&gt; that acts on the actuated device using a &lt;RACK AND PINION GEAR&gt;
ROTARY ACTUATOR,ACTUATOR,"ROTARY ELECTRIC ACTUATOR, ROTARY ELECTRO-HYDRAULIC ACTUATOR, ROTARY MANUAL ACTUATOR, ROTARY PNEUMATIC ACTUATOR, ROTARY HYDRAULIC ACTUATOR",A &lt;ROTARY ACTUATOR&gt; is an &lt;ARTEFACT&gt; and an &lt;ACTUATOR&gt; causing a rotary motion
ROTARY ELECTRIC ACTUATOR,ROTARY ACTUATOR,,A &lt;ROTARY ELECTRIC ACTUATOR&gt; is a &lt;ROTARY ACTUATOR&gt; and an &lt;ELECTRIC ACTUATOR&gt;
ROTARY ELECTRO-HYDRAULIC ACTUATOR,ROTARY ACTUATOR,,A &lt;ROTARY ELECTRO-HYDRAULIC ACTUATOR&gt; is a &lt;ROTARY ACTUATOR&gt; and an &lt;ELECTRO-HYDRAULIC ACTUATOR&gt;
ROTARY HYDRAULIC ACTUATOR,ROTARY ACTUATOR,,A &lt;ROTARY HYDRAULIC ACTUATOR&gt; is a &lt;ROTARY ACTUATOR&gt; and a &lt;HYDRAULIC ACTUATOR&gt;
ROTARY PNEUMATIC ACTUATOR,ROTARY ACTUATOR,,A &lt;ROTARY PNEUMATIC ACTUATOR&gt; is a &lt;ROTARY ACTUATOR&gt; and a &lt;PNEUMATIC ACTUATOR&gt;
WEIGHT ACTUATOR,ACTUATOR,,A &lt;WEIGHT ACTUATOR&gt; is an &lt;ARTEFACT&gt; and an &lt;ACTUATOR&gt; that is powered by the use of gravity forces
WINDING GEAR,ACTUATOR,,A &lt;WINDING GEAR&gt; is an &lt;ARTEFACT&gt; and an &lt;ACTUATOR&gt; intended for winding circuit-breakers in and out of service
ADDRESSER,,ADDRESSABLE FIRE ALARM BUTTON,An &lt;ADDRESSER&gt; is a &lt;FunctionalObject&gt; that is capable of &lt;ADDRESSING&gt;
AERATOR,,"AERATION BASIN, FLUIDISATION RING, aerator, AIR GRID, PREFLUIDISATION RING",An &lt;AERATOR&gt; is a &lt;FunctionalObject&gt; that has a capability of &lt;AERATING&gt;. It is used to pass bubbles of air or gas through any liquid or semi solid medium
AERATION BASIN,AERATOR,,An &lt;AERATION BASIN&gt; is an &lt;ARTEFACT&gt; and a &lt;BASIN&gt; and an &lt;AERATOR&gt; intended to disperse air in a liquid
AIR GRID,AERATOR,,An &lt;AIR GRID&gt; is an &lt;ARTEFACT&gt; and an &lt;AERATOR&gt; and a shape of a grid or sieve
FLUIDISATION RING,AERATOR,,A &lt;FLUIDISATION RING&gt; is an &lt;ARTEFACT&gt; and an &lt;AERATOR&gt; and a shape of a ring with holes in it
PREFLUIDISATION RING,AERATOR,,A &lt;PREFLUIDISATION RING&gt; is an &lt;ARTEFACT&gt; and an &lt;AERATOR&gt; intended to roughly fluidise a granular material
aerator,AERATOR,,A physical object that supplies and mixes air to a liquid or solids
AGGLOMERATOR,,"ROTATING GROWTH AGGLOMERATOR, ROTATING PRESSURE AGGLOMERATOR, RECIPROCATING PRESSURE AGGLOMERATOR",A &lt;AGGLOMERATOR&gt;  is a &lt;FunctionalObject&gt; that is capable of &lt;AGGLOMERATING&gt; typically to cause material to gather into rounded balls
RECIPROCATING PRESSURE AGGLOMERATOR,AGGLOMERATOR,,A &lt;RECIPROCATING PRESSURE AGGLOMERATOR&gt; is an &lt;ARTEFACT&gt; and an &lt;AGGLOMERATOR&gt; which uses pistons to produce pressure and to form material
ROTATING GROWTH AGGLOMERATOR,AGGLOMERATOR,PELLETIZER,A &lt;ROTATING GROWTH AGGLOMERATOR&gt; is an &lt;ARTEFACT&gt; and an &lt;AGGLOMERATOR&gt; which uses a &lt;PELLETIZER DISC&gt; to produce &lt;PELLET&gt;s
PELLETIZER,ROTATING GROWTH AGGLOMERATOR,,A &lt;PELLETIZER&gt; is a &lt;ROTATING GROWTH AGGLOMERATOR&gt; that compresses or molds a material into the shape of &lt;PELLET&gt;s
ROTATING PRESSURE AGGLOMERATOR,AGGLOMERATOR,BRIQUETTING ROLLER,A &lt;ROTATING PRESSURE AGGLOMERATOR&gt; is an &lt;ARTEFACT&gt; and an &lt;AGGLOMERATOR&gt; which uses &lt;BRIQUETTING ROLLER&gt;s to produce pressure and to form material
BRIQUETTING ROLLER,ROTATING PRESSURE AGGLOMERATOR,,A &lt;BRIQUETTING ROLLER&gt; is a &lt;ROTATING PRESSURE AGGLOMERATOR&gt; which uses a set of rollers to form material and produce briquettes
AIR HANDLER,,AIR HANDLING UNIT,An &lt;AIR HANDLER&gt; is a &lt;FunctionalObject&gt; that is capable of &lt;HANDLING&gt; &lt;AIR&gt;
AIR HANDLING UNIT,AIR HANDLER,air handling unit,An &lt;AIR HANDLING UNIT&gt; is an &lt;ARTEFACT&gt; and an &lt;AIR HANDLER&gt; that is intended for central conditioning and pressure increase of ventilation air
air handling unit,AIR HANDLING UNIT,,An artefact intended for central conditioning and pressure increase of ventilation air
AMPLIFIER,,"BUFFER AMPLIFIER, amplifier, PREAMPLIFIER, REPEATER, SIGNAL AMPLIFIER, PNEUMATIC AMPLIFIER",An &lt;AMPLIFIER&gt; is a &lt;FunctionalObject&gt; that is capable of &lt;AMPLIFYING&gt; an input to a more powerful output
BUFFER AMPLIFIER,AMPLIFIER,,A &lt;BUFFER AMPLIFIER&gt; is an &lt;ARTEFACT&gt; and an &lt;AMPLIFIER&gt; specially designed to prevent variations of the characteristics of electric circuits connected to its output from affecting the input signal
PNEUMATIC AMPLIFIER,"AMPLIFIER, PNEUMATIC APPARATUS",,A &lt;PNEUMATIC AMPLIFIER&gt; is an &lt;ARTEFACT&gt; and an &lt;AMPLIFIER&gt; and a &lt;PNEUMATIC APPARATUS&gt; that increases the power of a pneumatic signal
PREAMPLIFIER,AMPLIFIER,,A &lt;PREAMPLIFIER&gt; is an &lt;ARTEFACT&gt; and an &lt;AMPLIFIER&gt; and at least a stage of valve or transistor gain following a high-impedance source from which the level is too low for line transmission and clearance above noise level
REPEATER,"TRANSCEIVER, AMPLIFIER",,"A &lt;REPEATER&gt; is a &lt;COMMUNICATIONS ITEM&gt; and an &lt;ARTEFACT&gt; and an &lt;AMPLIFIER&gt; and a &lt;TRANSCEIVER&gt;, essentially including one or more amplifiers and/or regenerators and associated devices, inserted at a point in a transmission medium"
SIGNAL AMPLIFIER,AMPLIFIER,PROXIMITY AMPLIFIER,A &lt;SIGNAL AMPLIFIER&gt; is an &lt;ARTEFACT&gt; and an &lt;AMPLIFIER&gt; for a &lt;SIGNAL&gt;
PROXIMITY AMPLIFIER,SIGNAL AMPLIFIER,,A &lt;PROXIMITY AMPLIFIER&gt; is a &lt;SIGNAL AMPLIFIER&gt; that amplifies the signal of a &lt;PROXIMITY MEASURING ELEMENT&gt;
amplifier,AMPLIFIER,,A physical object for increasing the power of a signal
APPROVER,,,An &lt;APPROVER&gt; is a &lt;FunctionalObject&gt; that has the capability of &lt;APPROVING&gt; to specified rules
ARRESTOR,,"LOCK AND DOOR CLOSER ASSEMBLY, BUCKLE ARRESTOR, arrestor, LOCK, FALL ARRESTOR, SPARK ARRESTOR, FLAME ARRESTOR",An &lt;ARRESTOR&gt; is a &lt;FunctionalObject&gt; that has a capability of &lt;ARRESTING&gt;
BUCKLE ARRESTOR,ARRESTOR,,A &lt;BUCKLE ARRESTOR&gt; is an &lt;ARRESTOR&gt; and a &lt;BRACE&gt; used to arrest buckles that may propogate along a pipeline
FALL ARRESTOR,ARRESTOR,FALL ARRESTOR BLOCK,A &lt;FALL ARRESTOR&gt; is an &lt;ARRESTOR&gt; and an &lt;ARTEFACT&gt; that provides a form of fall protection which involves the safe stopping of a person already falling
FALL ARRESTOR BLOCK,FALL ARRESTOR,,"A &lt;FALL ARRESTOR BLOCK&gt; is an &lt;ARTEFACT&gt; and an &lt;FALL ARRESTOR&gt; that is a block fitted with a steel rope or web line, with an emergency locking retractor and an automatic retrieval mechanism  that is designed to offer protection to workers at heights"
FLAME ARRESTOR,ARRESTOR,flame arrestor,"A &lt;FLAME ARRESTOR&gt; is an &lt;ARTEFACT&gt; and an &lt;ARRESTOR&gt; that is a trap covering an opening, e.g of a ventilation system or a pipe, to prevent flames from entering the system"
flame arrestor,FLAME ARRESTOR,,"An arrestor which is a trap over an opening, e.g. of a ventilation system or a pipe, to prevent flames from entering the system"
LOCK,ARRESTOR,DOOR LOCK,"A &lt;LOCK&gt; is an &lt;ARTEFACT&gt; and an &lt;ARRESTOR&gt; and that is intended to secure against opening (as for a door), operated by a key or a combination"
DOOR LOCK,LOCK,,A &lt;DOOR LOCK&gt; is a &lt;LOCK&gt; which is intended for a door
