UniqueName,SuperClass,TextDefinition
7-CYLINDER ENGINE,RECIPROCATING PISTON ENGINE,A <7-CYLINDER ENGINE> is a <RECIPROCATING PISTON ENGINE> that has 7 cylinders
8-CYLINDER ENGINE,RECIPROCATING PISTON ENGINE,A <8-CYLINDER ENGINE> is a <RECIPROCATING PISTON ENGINE> that has 8 cylinders
9-CYLINDER ENGINE,RECIPROCATING PISTON ENGINE,A <9-CYLINDER ENGINE> is a <RECIPROCATING PISTON ENGINE> that has 9 cylinders
ABRADABLE SEAL,MECHANICAL SEAL,An <ABRADABLE SEAL> is a <MECHANICAL SEAL> that is provided with abradable materials to reduce clearances with minimum risk to turbine or compressor components during rubs. It is made of a abradable material so that seal wears out in motion and not the other component which is in contact with it. It is a sacrificial part
ABRADABLE STATIC LABYRINTH SEAL,"ABRADABLE SEAL, STATIC LABYRINTH SEAL",An <ABRADABLE STATIC LABYRINTH SEAL> is an <ABRADABLE SEAL> and a <STATIC LABYRINTH SEAL>. The abradable part is static.
ACTIVATED SLUDGE PUMP,PUMP,An <ACTIVATED SLUDGE PUMP> is a <PUMP> that is specifically designed for <PUMPING> <ACTIVATED SLUDGE>. It is a regular centrifugal pump with open impellers.
ACTIVE MAGNETIC RADIAL BEARING,"MAGNETIC BEARING, RADIAL BEARING",An <ACTIVE MAGNETIC RADIAL BEARING> is a <RADIAL BEARING> and a <MAGNETIC BEARING> that uses actively controlled magnetic forces to support the load without shaft-to-bearing contact
ACTIVE MAGNETIC THRUST BEARING,"MAGNETIC BEARING, THRUST BEARING",An <ACTIVE MAGNETIC THRUST BEARING> is a <THRUST BEARING> and a <MAGNETIC BEARING> that uses actively controlled magnetic forces to accommodate for any residual axial load within any rotating equipment design under all possible operating conditions
ACTUATOR STEM SEAL,SHAFT SEAL,An <ACTUATOR STEM SEAL> is a <SHAFT SEAL> that is a sealing element intended to prevent leakage of fluids/gas from the path between stem and surrouding housing
ADAPTER SEAT,"ARTEFACT, SUPPORT",An <ADAPTER SEAT> is an <ARTEFACT> and a <SUPPORT> for the bottom part of the column in which the cryogenic pump is housed
ADJUSTABLE RIGID COUPLING,FLANGED RIGID COUPLING,An <ADJUSTABLE RIGID COUPLING> is a <FLANGED RIGID COUPLING> with a threaded adjusting ring placed between the two flanges making it possible to position the driven shaft axially with respect to the driver.
ADJUSTABLE SPEED BELT DRIVE,MECHANICAL ADJUSTABLE SPEED DRIVE,An <ADJUSTABLE SPEED BELT DRIVE> is a <MECHANICAL ADJUSTABLE SPEED DRIVE> utilizing a rubber-belt or steel-belt running between adjustable pitch-sheaves to convert constant input speed to a variable output speed
ADJUSTABLE SPEED GEARBOX,GEARBOX,An <ADJUSTABLE SPEED GEARBOX> is a <GEARBOX> where the output speeds may be selected from several different pre-set ranges
ADJUSTABLE STATOR VANE,STATOR VANE,An <ADJUSTABLE STATOR VANE> is a <STATOR VANE> by which the adjustment of the play separating the stators and the rotors is effected automatically and jointly with adjustment of the phase angle of the stators.
AERATOR,FunctionalObject,An <AERATOR> is a <FunctionalObject> that has a capability of <AERATING>. It is used to pass bubbles of air or gas through any liquid or semi solid medium
AERO GAS GENERATOR,"ARTEFACT, GENERATOR","An <AERO GAS GENERATOR> is an <ARTEFACT> and a <GENERATOR> that is the high-pressure compressor/combustion/turbine section of a gas turbine which supplies a high-energy flow for turbines which drive propellers, fans or compressors"
AERO-DERIVATIVE GAS TURBINE,GAS TURBINE,"An <AERO-DERIVATIVE GAS TURBINE> is a <GAS TURBINE> that is an industrial turbine derived from an aircraft turbine, which is used for land based industrial applications with modifications"
AGITATOR,DYNAMIC MIXER,An <AGITATOR> is a <DYNAMIC MIXER> that stirs or shakes fluids by reaction force from moving vanes
AGITATOR GAS SEAL,DRY GAS SEAL,An <AGITATOR GAS SEAL> is a <DRY GAS SEAL> that is designed for low/ medium speed agitator applications.
AIR BALANCING UNIT,"ARTEFACT, BALANCER","An <AIR BALANCING UNIT> is an <ARTEFACT> and a <BALANCER> where counterbalance is provided by a pneumatic cylinder charged with air, eliminating the need for counterweights"
AIR BLOWER,"ARTEFACT, BLOWER",An <AIR BLOWER> is an <ARTEFACT> and a <BLOWER> intended to compress air
AIR COMPRESSOR,"ARTEFACT, COMPRESSOR",An <AIR COMPRESSOR> is an <ARTEFACT> and a <COMPRESSOR> for increasing the pressure of air
AIR COOLED CYLINDER HEAD,"AIR COOLED OBJECT, CYLINDER HEAD",An <AIR COOLED CYLINDER HEAD> is an <AIR COOLED OBJECT> and a <CYLINDER HEAD> which is cooled by air and not liquid
AIR COOLED MOTOR,"AIR COOLED OBJECT, MOTOR",An <AIR COOLED MOTOR> is a <MOTOR> and an <AIR COOLED OBJECT> having fins &amp; fan at the end for air cooling.
AIR DRIVEN PISTON PUMP,PISTON PUMP,An <AIR DRIVEN PISTON PUMP> is a <PISTON PUMP> that is driven by pressurized air.
AIR HANDLING UNIT,"AIR HANDLER, ARTEFACT",An <AIR HANDLING UNIT> is an <ARTEFACT> and an <AIR HANDLER> that is intended for central conditioning and pressure increase of ventilation air
AIR MOTOR,"MOTOR, PNEUMATIC TO ROTATION ENERGY CONVERTER",An <AIR MOTOR> is a <MOTOR> and a <PNEUMATIC TO ROTATION ENERGY CONVERTER> where air is expanded to obtain rotating motion.
AIR START SYSTEM,PNEUMATIC START SYSTEM,An <AIR START SYSTEM> is a <PNEUMATIC START SYSTEM> that uses compressed air as power source to start a driver.
AIR STARTER MOTOR,"PNEUMATIC MOTOR, STARTER",An <AIR STARTER MOTOR> is a <PNEUMATIC MOTOR> and a <STARTER>  using compressed air as the power source
AIR-BALANCED UNIT,"ARTEFACT, COUNTERBALANCE","An <AIR-BALANCED UNIT> is an <ARTEFACT> and a <COUNTERBALANCE> on a <PUMPJACK> that is provided by a pneumatic cylinder charged with air from a compressor, eliminating the need for counterweights"
AIRCRAFT ENGINE,ENGINE,An <AIRCRAFT ENGINE> is an <ENGINE> that is a driver which is the power unit of an aircraft
AIR-POWERED PUMP,"ARTEFACT, PUMP",COMPRESSED AIR PUMP
ALKALINE PUMP,PUMP,An <ALKALINE PUMP> is a <PUMP> that has some modifications to handle alkaline fluids.
AMMONIA INFIX SYSTEM,CHEMICAL INJECTION SYSTEM,An <AMMONIA INFIX SYSTEM> is a <CHEMICAL INJECTION SYSTEM> that is mainly used for controlling the p<H->value for feed water into boilers.
ANCHOR TYPE IMPELLER,RADIAL FLOW MIXER IMPELLER,"An <ANCHOR TYPE IMPELLER> is a <RADIAL FLOW MIXER IMPELLER> that is a contoured, two-bladed impeller for mixing of high viscosity liquids."
ANGULAR CONTACT BALL BEARING,BALL BEARING,An <ANGULAR CONTACT BALL BEARING> is a <BALL BEARING> with raceways in the inner and outer rings which are displaced with respect to each other in the direction of the bearing axis.
ANNULUS,Feature,An <ANNULUS> is a <Feature> defined as the space between the OD of the inner sealing element and the ID of the outer sealing element of a concentric piping configuration
ANTI FRICTION BEARING,"ARTEFACT, BEARING","An <ANTI FRICTION BEARING> is an<ARTEFACT> and a <BEARING> that uses rolling bearing elements. Rolling elements can be balls, cylinders, etc"
API 682 SEAL PIPING PLAN,MECHANICAL SEAL PRODUCT LUBRICATION SYSTEM,"An <API 682 SEAL PIPING PLAN> is a <MECHANICAL SEAL PRODUCT LUBRICATION SYSTEM> that is also a seal leakage containment system, that is in accordance with API 682"
ARCHIMEDIAN SCREW,"ARTEFACT, PUMP",An <ARCHIMEDIAN SCREW> is an <ARTEFACT>and a <PUMP> consisting of a deep thread which runs in a cylinder or half a cylinder
ARCHIMEDIAN SCREW PUMP,SCREW PUMP,An <ARCHIMEDIAN SCREW PUMP> is a <SCREW PUMP> that uses an archimedian screw rotating within a cylindrical trough to lift a fluid.
ARMOURED PUMP,"ARTEFACT, PUMP",An <ARMOURED PUMP> is an <ARTEFACT> and a <PUMP> that is protected from impact loads
ASH PUMP,PUMP,An <ASH PUMP> is a <PUMP>having special features for <PUMPING> <ASH>
ASYMMETRICAL CRANKSHAFT,CRANKSHAFT,An <ASYMMETRICAL CRANKSHAFT> is a <CRANKSHAFT> where the cranks are located asymmetrical.
AUGER EXTRUDER,"ARTEFACT, EXTRUDER",An <AUGER EXTRUDER> is an <ARTEFACT> and an <EXTRUDER> that operates in a continuous process. Typically using a screw to build up pressure in the melt. It can incorporate a mixing stage with a forming stage
AUTOMATIC EXTRACTION BACK PRESSURE STEAM TURBINE,EXTRACTION BACK PRESSURE STEAM TURBINE,An <AUTOMATIC EXTRACTION BACK PRESSURE STEAM TURBINE> is an <EXTRACTION BACK PRESSURE STEAM TURBINE> where extraction takes place with a system for controlling the pressures of the extracted steam
AUTOMATIC EXTRACTION CONDENSING STEAM TURBINE,EXTRACTION CONDENSING STEAM TURBINE,An <AUTOMATIC EXTRACTION CONDENSING STEAM TURBINE> is an <EXTRACTION CONDENSING STEAM TURBINE> in which extraction takes place with a system for controlling the pressures of the extracted steam
AUTOMATIC TROUGH PUMP,PUMP,An <AUTOMATIC TROUGH PUMP> is a <PUMP> that is specifically designed for <PUMPING> into an animal drinking trough and starting automatically
AUXILIARY BEARING,"ARTEFACT, BEARING",An <AUXILIARY BEARING> is an <ARTEFACT> and a <BEARING> that is a specifically designed to provide support in case of failure of the main bearings or bearing system
AUXILIARY BRAKE,"ARTEFACT, BRAKE",An <AUXILIARY BRAKE> is an <ARTEFACT> and a <BRAKE> that is a supplemental brake for assisting a <MECHANICAL BRAKE>
AUXILIARY GEARBOX,GEARBOX,An <AUXILIARY GEARBOX> is a <GEARBOX> that is meant to serve either during start-up or during off-standard operation conditions
AUXILIARY IMPELLER,"ARTEFACT, IMPELLER",An <AUXILIARY IMPELLER> is an <ARTEFACT> and an <IMPELLER> that is used to control the internal pressure and flow in the pump
AUXILIARY INLET,"ARTEFACT, FLUID INLET PORT",A <AUXILIARY INLET> is an <ARTEFACT> and a <FLUID INLET PORT> that receives a fluid and that is not the main fluid inlet port
AUXILIARY OUTLET,"ARTEFACT, FLUID OUTLET PORT",A <AUXILIARY OUTLET> is an <ARTEFACT> and a <FLUID OUTLET PORT> that receives a fluid and that is not the main fluid outlet port
AUXILIARY SYSTEM,SYSTEM,"An <AUXILIARY SYSTEM> is a <SYSTEM> that is part of a larger system and and a function which is necessary for the larger system, but which is not part of the function of the larger system"
AXIAL BLOWER,"ARTEFACT, BLOWER",An <AXIAL BLOWER> is an <ARTEFACT> and a <BLOWER> in which the flow direction is parallel to the shaft
AXIAL COMPRESSOR,"ARTEFACT, COMPRESSOR",An <AXIAL COMPRESSOR> is an <ARTEFACT> and a <COMPRESSOR> in which the gas is accelerated by the action of a bladed rotor and where the main flow is along the rotation axis of the rotor; action of rotating bladed rotor &amp; fixed stator
AXIAL DIFFUSER,"ARTEFACT, DIFFUSER",An <AXIAL DIFFUSER> is an <ARTEFACT> and a <DIFFUSER> intended for an axial flow machine where the pumped flow or compressed gas is guided axially either to the next stage or to the outlet
AXIAL FAN,"ARTEFACT, FAN",An <AXIAL FAN> is an <ARTEFACT> and a <FAN> where the flow is along axis of shaft and the pressure ratio is relatively low
AXIAL FLOW GAS TURBINE,GAS TURBINE,An <AXIAL FLOW GAS TURBINE> is a <GAS TURBINE> in witch the gas flow is along the rotation axis of the rotor
AXIAL FLOW MIXER IMPELLER,MIXER IMPELLER,An <AXIAL FLOW MIXER IMPELLER> is a <MIXER IMPELLER> intended to produce flow parallel to the impeller shaft with relatively less shear and higher flow rates in mixing fluids.
AXIAL FLOW PUMP,CENTRIFUGAL PUMP,An <AXIAL FLOW PUMP> is a <CENTRIFUGAL PUMP> that is provided with an axial flow impeller to generate relatively low head at large flows
AXIAL FLOW PUMP IMPELLER,PUMP IMPELLER,An <AXIAL FLOW PUMP IMPELLER> is a <PUMP IMPELLER> where the flow direction is along the shaft axis and the flow is discharged nearly axially by which most of the head is developed by the propelling or lifting action of the vanes on the liquid.
AXIAL FLOW PUMP WITH ADJUSTABLE BLADES,AXIAL FLOW PUMP,An <AXIAL FLOW PUMP WITH ADJUSTABLE BLADES> is an <AXIAL FLOW PUMP> with impeller blades that can be adjusted to regulate the pump capacity (to provide the desired combination of flow and head).
AXIAL FLOW PUMP WITH REVERSIBLE BLADES,AXIAL FLOW PUMP,An <AXIAL FLOW PUMP WITH REVERSIBLE BLADES> is an <AXIAL FLOW PUMP> with impeller blades that can be reversed (for the purpose of changing the flow direction).
AXIAL FLOW PUMP WITH VARIABLE PITCH BLADES,AXIAL FLOW PUMP,An <AXIAL FLOW PUMP WITH VARIABLE PITCH BLADES> is an <AXIAL FLOW PUMP> that has blades with pitch which can be varied during operation.
AXIAL HYDRAULIC REACTION TURBINE,HYDRAULIC REACTION TURBINE,An <AXIAL HYDRAULIC REACTION TURBINE> is a <HYDRAULIC REACTION TURBINE> where the flow path of the liquid is mainly parallel to the axis of rotation
AXIAL LABYRINTH SHAFT SEAL,LABYRINTH SHAFT SEAL,An <AXIAL LABYRINTH SHAFT SEAL> is a <LABYRINTH SHAFT SEAL> where the labyrinth chambers are located axially alongside the shaft.
AXIAL PISTON PUMP,PISTON PUMP,An <AXIAL PISTON PUMP> is a <PISTON PUMP> utilizing reciprocating pistons in cylinders where valving is achieved by rotating the cylinders and pistons relative to the ports.
AXIAL SPLIT CASING,CASING,An <AXIAL SPLIT CASING> is a  <CASING> where the split surface is through the axis or near the axis
AXIAL TURBINE MIXER,DYNAMIC MIXER,An <AXIAL TURBINE MIXER> is a <DYNAMIC MIXER> where the flow moves parallel to the impeller shaft
AXIAL VIBRATION DAMPER,"ARTEFACT, VIBRATION DAMPER",An <AXIAL VIBRATION DAMPER> is an <ARTEFACT> and a <VIBRATION DAMPER> that absorbes and/or prevent axial vibrations to be transmitted through a rotating shaft
AXIALLY SPLIT PUMP CASING,PUMP CASING,An <AXIALLY SPLIT PUMP CASING> is a <PUMP CASING> that is axially split.
BACK PRESSURE STEAM TURBINE,STEAM TURBINE,A <BACK PRESSURE STEAM TURBINE> is a <STEAM TURBINE> where the exhaust is above atmospheric pressure
BACK PULLOUT PUMP,"ARTEFACT, PUMP","A <BACK PULLOUT PUMP> is an <ARTEFACT> and a <PUMP> and a design that allows the wet end of the pump to be left on the piping, while the back end with shaft end, seals, couplings, drivers, etc. can be dismantled for inspection, service, maintenance and overhaul"
BACKSTOP,"ARTEFACT, LIMITER","A <BACKSTOP> is an <ARTEFACT> and a <LIMITER> intended to permit a motor, engine or any rotating apparatus to rotate in its intended direction only"
BACK-TO-BACK COMPRESSOR,CENTRIFUGAL COMPRESSOR,"A <BACK-TO-BACK COMPRESSOR> is a <CENTRIFUGAL COMPRESSOR> divided in a low pressure and high pressure stage, where the compressor impellers in the two stages are facing different ends of the common shaft to eliminate the thrust force."
BACK-UP SEAL,"ARTEFACT, SEAL",A <BACK-UP SEAL> is an <ARTEFACT> and a  <SEAL> that is an auxiliary seal arrangement in order to prevent leakage in case of primary seal failure
BAFFLE SUPPORT,"ARTEFACT, SUPPORT",A <BAFFLE SUPPORT> is an <ARTEFACT> and a <SUPPORT> that supports a <BAFFLE>
BALANCE COUNTER DISC,"BALANCER, DISC",A <BALANCE COUNTER DISC> is a <DISC> and a <BALANCER> intended to balance the shaft and is attached to a <SHAFT>
BALANCE DISC ASSEMBLY,THRUST BALANCE ASSEMBLY,A <BALANCE DISC ASSEMBLY> is a <THRUST BALANCE ASSEMBLY> that contains a disc assembly
BALANCE DISC SHEET,SHEET,A <BALANCE DISC SHEET> is a <SHEET> attached to a casing to form part of a balancing disk assembly.
BALANCE DRUM,HYDRAULIC CYLINDER,A <BALANCE DRUM> is a <HYDRAULIC CYLINDER> the piston of which is attached to the shaft to form part of a balance drum assembly
BALANCE DRUM ASSEMBLY,THRUST BALANCE ASSEMBLY,A <BALANCE DRUM ASSEMBLY> is a <THRUST BALANCE ASSEMBLY> which contains a drum assembly
BALANCE LINER,LINER,A <BALANCE LINER> is a <LINER> inserted in the casing to form part of a balance drum assembly
BALANCE PISTON,PISTON,A <BALANCE PISTON> is a <PISTON> used to balance axial thrust generated by the impellers
BALANCE PISTON COMPRESSOR,CENTRIFUGAL COMPRESSOR,A <BALANCE PISTON COMPRESSOR> is a <CENTRIFUGAL COMPRESSOR> where a piston is attached to the rotor and by means of the pressure difference reduces or eliminates the wear on the thrust bearings
BALANCE PISTON COVER,"ARTEFACT, COVER",A <BALANCE PISTON COVER> is an <ARTEFACT> and a <COVER> that covers the sleeve bearing and balancing piston housing
BALANCE PISTON DIAPHRAGM,DIAPHRAGM,A <BALANCE PISTON DIAPHRAGM> is a <DIAPHRAGM> intended to separate flow at a <BALANCE PISTON>
BALANCE PISTON LABYRINTH SEAL,LABYRINTH SEAL,A <BALANCE PISTON LABYRINTH SEAL> is a <LABYRINTH SEAL> intended to minimize internal recirculation off the balancing piston
BALANCE PISTON LOCK NUT,LOCK NUT ASSEMBLY,"A <BALANCE PISTON LOCK NUT> is a <LOCK NUT ASSEMBLY> that is either a nut with an integral part to prevent accidental loosening, or an assembly of a nut and other physical objects that prevent accidental loosening"
BALANCED MECHANICAL SEAL,MECHANICAL SEAL,A <BALANCED MECHANICAL SEAL> is a <MECHANICAL SEAL> arrangement whereby the effect of the hydraulic pressure in the seal chamber has a minor influence on the seal face closing forces.
BALANCING BUS,"ARTEFACT, BALANCER, ELECTRICAL NODE","A <BALANCING BUS> is an <ARTEFACT> and a <BALANCER> and an <ELECTRICAL NODE>, that is the node of a network the input power of which is controlled so as to equalise the sum of all other input powers and of the active power losses of the network"
BALANCING CHAMBER,CHAMBER,A <BALANCING CHAMBER> is a <CHAMBER> intended to house a balance disc or drum
BALANCING DAMPER,"ARTEFACT, GAS FLOW DAMPER",A <BALANCING DAMPER is an <ARTEFACT> and a <GAS FLOW DAMPER> intended to adjust an air flow rate through a duct
BALANCING GEAR,"ARTEFACT, BALANCER",A <BALANCING GEAR> is an <ARTEFACT> and a <BALANCER>  with rotating weight(s) which reduces internal mass forces in a reciprocating piston engine
BALANCING RING,"ARTEFACT, BALANCER",A <BALANCING RING> is an <ARTEFACT> and a <BALANCER>   that is a disc or collar intended to be fastened to a pump shaft to balance the thrust from the impellers
BALANCING WEIGHT,"ARTEFACT, BALANCER",A <BALANCING WEIGHT> is an <ARTEFACT> and a <BALANCER> intended to compensate (counter) unbalanced masses and subsequent dynamic forces
BALL,"ARTEFACT, SPHERE(shape)",A <BALL> is an <ARTEFACT> with a <SPHERE(shape)> Shape
BALL BEARING,ROLLING ELEMENT BEARING,A <BALL BEARING> is a <ROLLING ELEMENT BEARING> in which the parts are separated by a ring of small freely rotating metal balls which reduce friction.
BALL BEARING SWIVEL JOINT,"ARTEFACT, SWIVEL JOINT",A <BALL BEARING SWIVEL JOINT> is an <ARTEFACT> and a  <SWIVEL JOINT> with an integral ball bearing
BAR TURBINE IMPELLER,RADIAL FLOW MIXER IMPELLER,A <BAR TURBINE IMPELLER> is a <RADIAL FLOW MIXER IMPELLER> that is multi bladed and bolted or welded to top and bottom of support disk in order to produce high shear rate in mixing fluids.
BARE PUMP,"ARTEFACT, PUMP",A <BARE PUMP> is an <ARTEFACT> and  a <PUMP> that is the main component of a <PUMP SYSTEM>
BARE TURBINE,TURBINE,A <BARE TURBINE is a <TURBINE> that is the main component of a <TURBINE SYSTEM>
BARREL CASING CENTRIFUGAL COMPRESSOR,CENTRIFUGAL COMPRESSOR,A <BARREL CASING CENTRIFUGAL COMPRESSOR> is a <CENTRIFUGAL COMPRESSOR> that has a barrel into which the compressor bundle of multiple stages is inserted. The bundle itself is a horizontally split casing compressor.
BARREL ENCLOSURE,"ARTEFACT, ENCLOSURE","A <BARREL ENCLOSURE> is an <ARTEFACT> and an <ENCLOSURE> intended to contain either fluids and/or machinery, used in high pressure pumps &amp; compressors."
BARREL MOUNTED VERTICAL PUMP CASING,PUMP CASING,A <BARREL MOUNTED VERTICAL PUMP CASING> is a <PUMP CASING> intended to be supported vertically inside the pump barrel.
BASE FRAME,FRAME,"A <BASE FRAME> is a <FRAME>, usually welded, that is acting as the foundation and/or support of a machine or equipment"
BATCH-LUBE GEAR COUPLING,OIL-LUBRICATED GEAR COUPLING,A <BATCH-LUBE GEAR COUPLING> is an <OIL-LUBRICATED GEAR COUPLING> which is intended to be lubricated by a periodically changed charge of oil
BEAM PUMP,"ARTEFACT, PUMP","A <BEAM PUMP> is an <ARTEFACT> and a <PUMP> that is an oil-well pump actuated by a walking beam,"
BEARING,SUPPORT,A <BEARING> is a <SUPPORT> intended to support and locate a moving or static element
BEARING ASSEMBLY,"ARTEFACT, SUPPORT",A <BEARING ASSEMBLY> is an <ARTEFACT> and a <SUPPORT> that consists of one or more bearings and associated components
BEARING BRACKET,BRACKET,A <BEARING BRACKET> is a <BRACKET> intended to support a bearing assembly
BEARING BUSHING,BUSHING,A <BEARING BUSHING> is a <BUSHING> intended to serve as bearing part of a sleeve bearing.
BEARING CAP,"ARTEFACT, COVER",A <BEARING CAP> is an <ARTEFACT> and a <COVER> intended to hold a bearing in position
BEARING CARRIER,"ARTEFACT, SUPPORT",A <BEARING CARRIER> is an <ARTEFACT> and a <SUPPORT>for a bearing assembly
BEARING CARTRIDGE,"ARTEFACT, SUPPORT","A <BEARING CARTRIDGE> is an <ARTEFACT> and a <SUPPORT> that is a preassembly of the bearing bracket, bearings, and associated parts for sliding onto a shaft and bolted to a static pump part"
BEARING CIRCLIP RING,RING,A <BEARING CIRCLIP RING> is a <RING> which is a fasteners that grasp elements or installations onto a shaft or in a dwelling/bore when assembled in a groove
BEARING COMPONENT,COMPONENT,A <BEARING COMPONENT> is a <COMPONENT> that is a part of a <BEARING>
BEARING COVER,"ARTEFACT, COVER","A <BEARING COVER> is an <ARTEFACT> and a <COVER> intended to protect the bearing from water or air ingress, which would impede the correct working"
BEARING DEFLECTOR,BEARING COMPONENT,"A <BEARING DEFLECTOR> is a <BEARING COMPONENT> that is a disc-mounted on a shaft and intended to deflect oil from coming out of a bearing and to prevent foreign material, like dirt, from entering a bearing."
BEARING DRIVEN END,"ARTEFACT, BEARING",A <BEARING DRIVEN END> is an<ARTEFACT> and a <BEARING> that is located at the driven end of an equipment
BEARING HEAD,BEARING HOUSING,A <BEARING HEAD> is a <BEARING HOUSING> that contains bearing assemblies for male- and female rotor shafts. Typically used in screw pumps and screw compressors.
BEARING HOUSING,HOUSING,A <BEARING HOUSING> is a <HOUSING> intended to support a bearing and also store lube oil as a reservoir
BEARING HOUSING END COVER,"ARTEFACT, COVER",A <BEARING HOUSING END COVER> is an <ARTEFACT> and a <COVER> intended to cover a bearing housing at non-driven shaft end
BEARING HOUSING END SEAL,"ARTEFACT, SEAL",A <BEARING HOUSING END SEAL> is an <ARTEFACT> and a <SEAL> intended to retain oil in the housing and prevent entry of foreign material
BEARING HOUSING O-RING,O-RING,A <BEARING HOUSING O-RING> is an <O-RING> intended to prevent leakage of oil
BEARING HOUSING VENT,"ARTEFACT, VENTILATING DEVICE",A <BEARING HOUSING VENT> is an <ARTEFACT> and a <VENTILATING DEVICE>
BEARING LOCKNUT,NUT,A <BEARING LOCKNUT> is a <NUT>  used to secure bearings onto a shaft and is designed to prevent the loosening of components due to vibration and rotation
BEARING LUBRICATION RING,LUBRICATION RING,A <BEARING LUBRICATION RING> is a <LUBRATION RING> intended to lubricate a bearing. Its a ring mounted on the rotating shaft and which supplies oil to the bearings.
BEARING NON-DRIVEN END,"ARTEFACT, BEARING",A <BEARING NON-DRIVEN END> is an<ARTEFACT> and a <BEARING> that is located at the non driven end of an equipment
BEARING PAD,BEARING COMPONENT,"A <BEARING PAD> is a <BEARING COMPONENT> that is a segment of a bearing sleeve, mounted in a housing being able to tilt to the most naturally appropriate angle for lubricant to accept the bearing load between the pads and the shaft or thrust disc. Can be applied to both thrust and radial bearings."
