uniqueName,superclasses,subclasses,description
ELECTRIC ACTUATOR,"CONTROLLED ACTUATOR, INSTRUMENTATION ITEM, ELECTRICAL APPARATUS",,An <ELECTRIC ACTUATOR> is an <INSTRUMENTATION ITEM> and a <CONTROLLED ACTUATOR> and an <ELECTRICAL APPARATUS> and an <ELECTRIC TO MECHANICAL ENERGY CONVERTER> that produces a specified movement when actuated by electrical energy
DIAPHRAGM ACTUATOR,"CONTROLLED ACTUATOR, INSTRUMENTATION ITEM",,A <DIAPHRAGM ACTUATOR> is an <INSTRUMENTATION ITEM> and a <CONTROLLED ACTUATOR> that is using a <DIAPHRAGM>
DOUBLE ACTING ACTUATOR,"CONTROLLED ACTUATOR, INSTRUMENTATION ITEM",,A <DOUBLE ACTING ACTUATOR is an <INSTRUMENTATION ITEM> and a <CONTROLLED ACTUATOR> that is able to operate in both directions
SINGLE ACTING ACTUATOR,"CONTROLLED ACTUATOR, INSTRUMENTATION ITEM",,A <SINGLE ACTING ACTUATOR> is an <INSTRUMENTATION ITEM> and a <CONTROLLED ACTUATOR> that is able to operate in one direction only
TWO CYLINDER ACTUATOR,"CONTROLLED ACTUATOR, INSTRUMENTATION ITEM",,A <TWO CYLINDER ACTUATOR> is an <INSTRUMENTATION ITEM> and a <CONTROLLED ACTUATOR> which has got two cylinders acting on the actuator driving sleeve creating torque
ONE CYLINDER ACTUATOR,"CONTROLLED ACTUATOR, INSTRUMENTATION ITEM",,An <ONE CYLINDER ACTUATOR> is an <INSTRUMENTATION ITEM> and a <CONTROLLED ACTUATOR> which has got one cylinder acting on the actuator driving sleeve creating torque
PISTON ACTUATOR,"CONTROLLED ACTUATOR, INSTRUMENTATION ITEM",,A <PISTON ACTUATOR> is an <INSTRUMENTATION ITEM> and a <CONTROLLED ACTUATOR> intended to operate by displacement of a piston by the use of pneumatic or hydraulic energy
CONTROLLED VALVE ACTUATOR,"CONTROLLED ACTUATOR, INSTRUMENTATION ITEM",,A <CONTROLLED VALVE ACTUATOR> is an <INSTRUMENTATION ITEM> and a <CONTROLLED ACTUATOR> intended to change and/or maintain the position of the closing member of a valve
MAGNETIC ACTUATOR,"CONTROLLED ACTUATOR, INSTRUMENTATION ITEM",,A <MAGNETIC ACTUATOR> is an <INSTRUMENTATION ITEM> and a <CONTROLLED ACTUATOR> where the force is provided by magnetic forces
FIRE ALARM BUTTON,ACTUATOR,"ADDRESSABLE FIRE ALARM BUTTON, MANUAL FIRE ALARM BUTTON",A <FIRE ALARM BUTTON> is an <ARTEFACT> and an <ACTUATOR> of an <FIRE ALARM>
MANUAL FIRE ALARM BUTTON,FIRE ALARM BUTTON,,A <MANUAL FIRE ALARM BUTTON> is a <FIRE ALARM BUTTON> and a <MANUAL CALL POINT> that is intended to be activated manually
ADDRESSABLE FIRE ALARM BUTTON,"ADDRESSER, FIRE ALARM BUTTON",,An <ADDRESSABLE FIRE ALARM BUTTON> is a <FIRE ALARM BUTTON> and an <ADDRESSER> that can be identified by an address or a name
FLANGE MOUNTED ACTUATOR,ACTUATOR,,A <FLANGE MOUNTED ACTUATOR> is an <ARTEFACT> and an <ACTUATOR> that is equipped with a flange for mounting on to the driven equipment
FULL-TURN ACTUATOR,ACTUATOR,,A <FULL-TURN ACTUATOR> is an <ARTEFACT>  and an <ACTUATOR> that has the capability of turning 360 degrees or more
LINEAR ACTUATOR,ACTUATOR,"LINEAR MANUAL ACTUATOR, LINEAR PNEUMATIC ACTUATOR, LINEAR HYDRAULIC ACTUATOR, LINEAR ELECTRO-HYDRAULIC ACTUATOR, LINEAR ELECTRIC ACTUATOR",A <LINEAR ACTUATOR> is an <ARTEFACT> and an <ACTUATOR> causing a linear motion
LINEAR MANUAL ACTUATOR,"MANUAL ACTUATOR, LINEAR ACTUATOR",,A <LINEAR MANUAL ACTUATOR> is a <LINEAR ACTUATOR> and an <MANUAL ACTUATOR>
LINEAR ELECTRIC ACTUATOR,LINEAR ACTUATOR,,A <LINEAR ELECTRIC ACTUATOR> is a <LINEAR ACTUATOR> and an <ELECTRIC ACTUATOR>
LINEAR ELECTRO-HYDRAULIC ACTUATOR,LINEAR ACTUATOR,,A <LINEAR ELECTRO-HYDRAULIC ACTUATOR> is a <LINEAR ACTUATOR> and an <ELECTRO-HYDRAULIC ACTUATOR>
LINEAR HYDRAULIC ACTUATOR,LINEAR ACTUATOR,,A <LINEAR HYDRAULIC ACTUATOR> is a <HYDRAULIC ACTUATOR> and a <LINEAR ACTUATOR>
LINEAR PNEUMATIC ACTUATOR,LINEAR ACTUATOR,,A <LINEAR PNEUMATIC ACTUATOR> is a <LINEAR ACTUATOR> and a <PNEUMATIC ACTUATOR>
MANUAL ACTUATOR,ACTUATOR,"LINEAR MANUAL ACTUATOR, CONTROL VALVE ACTUATOR WITH HANDWHEEL, BREAK GLASS UNIT, BUTTON, MANUAL DELUGE FIREWATER RELEASE, ROTARY MANUAL ACTUATOR, MANUAL CALL POINT, HANDWHEEL",A <MANUAL ACTUATOR> is an <ARTEFACT> and an <ACTUATOR> which action has to be trigged manually
CONTROL VALVE ACTUATOR WITH HANDWHEEL,MANUAL ACTUATOR,,A <CONTROL VALVE ACTUATOR WITH HANDWHEEL> is a <MANUAL ACTUATOR> in a case where a manual override is required
ROTARY MANUAL ACTUATOR,"MANUAL ACTUATOR, ROTARY ACTUATOR",,A <ROTARY MANUAL ACTUATOR> is a <ROTARY ACTUATOR> and an <MANUAL ACTUATOR>
BREAK GLASS UNIT,MANUAL ACTUATOR,,A <BREAK GLASS UNIT> is a <MANUAL ACTUATOR> for actuating an alarm system that requires a person to break the glass cover
MANUAL DELUGE FIREWATER RELEASE,MANUAL ACTUATOR,,A <MANUAL DELUGE FIREWATER RELEASE> is a <MANUAL ACTUATOR> that is manually operated and that starts a firewater deluge system
HANDWHEEL,MANUAL ACTUATOR,,"A <HANDWHEEL> is a <MANUAL ACTUATOR> that typically consists of a rim connected to a hub by spokes, which is used to manually operate another physical object, requiring the wheel to be turned"
MANUAL CALL POINT,MANUAL ACTUATOR,,A <MANUAL CALL POINT> is a <MANUAL ACTUATOR> for manual release if fire prevention is required
BUTTON,MANUAL ACTUATOR,,"A <BUTTON> is a <MANUAL ACTUATOR> that is a control device of a push-button switch which moves under manual pressure, generally in the direction of the axis of the button"
ON-OFF ACTUATOR,ACTUATOR,,"An <ON-OFF ACTUATOR> is an <ARTEFACT> and an <ACTUATOR> that can only take two positions, fully opened or fully closed"
PART TURN ACTUATOR,ACTUATOR,,A <PART TURN ACTUATOR> is an <ARTEFACT> and a <ACTUATOR> that can turn less than 360 degrees
RACK AND PINION ACTUATOR,ACTUATOR,,A <RACK AND PINION ACTUATOR> is an <ARTEFACT> and an <ACTUATOR> that acts on the actuated device using a <RACK AND PINION GEAR>
ROTARY ACTUATOR,ACTUATOR,"ROTARY ELECTRO-HYDRAULIC ACTUATOR, ROTARY ELECTRIC ACTUATOR, ROTARY PNEUMATIC ACTUATOR, ROTARY HYDRAULIC ACTUATOR, ROTARY MANUAL ACTUATOR",A <ROTARY ACTUATOR> is an <ARTEFACT> and an <ACTUATOR> causing a rotary motion
ROTARY ELECTRIC ACTUATOR,ROTARY ACTUATOR,,A <ROTARY ELECTRIC ACTUATOR> is a <ROTARY ACTUATOR> and an <ELECTRIC ACTUATOR>
ROTARY ELECTRO-HYDRAULIC ACTUATOR,ROTARY ACTUATOR,,A <ROTARY ELECTRO-HYDRAULIC ACTUATOR> is a <ROTARY ACTUATOR> and an <ELECTRO-HYDRAULIC ACTUATOR>
ROTARY HYDRAULIC ACTUATOR,ROTARY ACTUATOR,,A <ROTARY HYDRAULIC ACTUATOR> is a <ROTARY ACTUATOR> and a <HYDRAULIC ACTUATOR>
ROTARY PNEUMATIC ACTUATOR,ROTARY ACTUATOR,,A <ROTARY PNEUMATIC ACTUATOR> is a <ROTARY ACTUATOR> and a <PNEUMATIC ACTUATOR>
WEIGHT ACTUATOR,ACTUATOR,,A <WEIGHT ACTUATOR> is an <ARTEFACT> and an <ACTUATOR> that is powered by the use of gravity forces
WINDING GEAR,ACTUATOR,,A <WINDING GEAR> is an <ARTEFACT> and an <ACTUATOR> intended for winding circuit-breakers in and out of service
ADDRESSER,,ADDRESSABLE FIRE ALARM BUTTON,An <ADDRESSER> is a <FunctionalObject> that is capable of <ADDRESSING>
AERATOR,,"AERATION BASIN, AIR GRID, FLUIDISATION RING, PREFLUIDISATION RING, aerator",An <AERATOR> is a <FunctionalObject> that has a capability of <AERATING>. It is used to pass bubbles of air or gas through any liquid or semi solid medium
AERATION BASIN,AERATOR,,An <AERATION BASIN> is an <ARTEFACT> and a <BASIN> and an <AERATOR> intended to disperse air in a liquid
AIR GRID,AERATOR,,An <AIR GRID> is an <ARTEFACT> and an <AERATOR> and a shape of a grid or sieve
FLUIDISATION RING,AERATOR,,A <FLUIDISATION RING> is an <ARTEFACT> and an <AERATOR> and a shape of a ring with holes in it
PREFLUIDISATION RING,AERATOR,,A <PREFLUIDISATION RING> is an <ARTEFACT> and an <AERATOR> intended to roughly fluidise a granular material
aerator,AERATOR,,A physical object that supplies and mixes air to a liquid or solids
AGGLOMERATOR,,"ROTATING PRESSURE AGGLOMERATOR, RECIPROCATING PRESSURE AGGLOMERATOR, ROTATING GROWTH AGGLOMERATOR",A <AGGLOMERATOR>  is a <FunctionalObject> that is capable of <AGGLOMERATING> typically to cause material to gather into rounded balls
RECIPROCATING PRESSURE AGGLOMERATOR,AGGLOMERATOR,,A <RECIPROCATING PRESSURE AGGLOMERATOR> is an <ARTEFACT> and an <AGGLOMERATOR> which uses pistons to produce pressure and to form material
ROTATING GROWTH AGGLOMERATOR,AGGLOMERATOR,PELLETIZER,A <ROTATING GROWTH AGGLOMERATOR> is an <ARTEFACT> and an <AGGLOMERATOR> which uses a <PELLETIZER DISC> to produce <PELLET>s
PELLETIZER,ROTATING GROWTH AGGLOMERATOR,,A <PELLETIZER> is a <ROTATING GROWTH AGGLOMERATOR> that compresses or molds a material into the shape of <PELLET>s
ROTATING PRESSURE AGGLOMERATOR,AGGLOMERATOR,BRIQUETTING ROLLER,A <ROTATING PRESSURE AGGLOMERATOR> is an <ARTEFACT> and an <AGGLOMERATOR> which uses <BRIQUETTING ROLLER>s to produce pressure and to form material
BRIQUETTING ROLLER,ROTATING PRESSURE AGGLOMERATOR,,A <BRIQUETTING ROLLER> is a <ROTATING PRESSURE AGGLOMERATOR> which uses a set of rollers to form material and produce briquettes
AIR HANDLER,,AIR HANDLING UNIT,An <AIR HANDLER> is a <FunctionalObject> that is capable of <HANDLING> <AIR>
AIR HANDLING UNIT,AIR HANDLER,air handling unit,An <AIR HANDLING UNIT> is an <ARTEFACT> and an <AIR HANDLER> that is intended for central conditioning and pressure increase of ventilation air
air handling unit,AIR HANDLING UNIT,,An artefact intended for central conditioning and pressure increase of ventilation air
AMPLIFIER,,"REPEATER, PNEUMATIC AMPLIFIER, BUFFER AMPLIFIER, PREAMPLIFIER, amplifier, SIGNAL AMPLIFIER",An <AMPLIFIER> is a <FunctionalObject> that is capable of <AMPLIFYING> an input to a more powerful output
BUFFER AMPLIFIER,AMPLIFIER,,A <BUFFER AMPLIFIER> is an <ARTEFACT> and an <AMPLIFIER> specially designed to prevent variations of the characteristics of electric circuits connected to its output from affecting the input signal
PNEUMATIC AMPLIFIER,"AMPLIFIER, PNEUMATIC APPARATUS",,A <PNEUMATIC AMPLIFIER> is an <ARTEFACT> and an <AMPLIFIER> and a <PNEUMATIC APPARATUS> that increases the power of a pneumatic signal
PREAMPLIFIER,AMPLIFIER,,A <PREAMPLIFIER> is an <ARTEFACT> and an <AMPLIFIER> and at least a stage of valve or transistor gain following a high-impedance source from which the level is too low for line transmission and clearance above noise level
REPEATER,"AMPLIFIER, TRANSCEIVER",,"A <REPEATER> is a <COMMUNICATIONS ITEM> and an <ARTEFACT> and an <AMPLIFIER> and a <TRANSCEIVER>, essentially including one or more amplifiers and/or regenerators and associated devices, inserted at a point in a transmission medium"
SIGNAL AMPLIFIER,AMPLIFIER,PROXIMITY AMPLIFIER,A <SIGNAL AMPLIFIER> is an <ARTEFACT> and an <AMPLIFIER> for a <SIGNAL>
PROXIMITY AMPLIFIER,SIGNAL AMPLIFIER,,A <PROXIMITY AMPLIFIER> is a <SIGNAL AMPLIFIER> that amplifies the signal of a <PROXIMITY MEASURING ELEMENT>
amplifier,AMPLIFIER,,A physical object for increasing the power of a signal
APPROVER,,,An <APPROVER> is a <FunctionalObject> that has the capability of <APPROVING> to specified rules
ARRESTOR,,"LOCK AND DOOR CLOSER ASSEMBLY, arrestor, BUCKLE ARRESTOR, LOCK, SPARK ARRESTOR, FLAME ARRESTOR, FALL ARRESTOR",An <ARRESTOR> is a <FunctionalObject> that has a capability of <ARRESTING>
BUCKLE ARRESTOR,ARRESTOR,,A <BUCKLE ARRESTOR> is an <ARRESTOR> and a <BRACE> used to arrest buckles that may propogate along a pipeline
FALL ARRESTOR,ARRESTOR,FALL ARRESTOR BLOCK,A <FALL ARRESTOR> is an <ARRESTOR> and an <ARTEFACT> that provides a form of fall protection which involves the safe stopping of a person already falling
FALL ARRESTOR BLOCK,FALL ARRESTOR,,"A <FALL ARRESTOR BLOCK> is an <ARTEFACT> and an <FALL ARRESTOR> that is a block fitted with a steel rope or web line, with an emergency locking retractor and an automatic retrieval mechanism  that is designed to offer protection to workers at heights"
FLAME ARRESTOR,ARRESTOR,flame arrestor,"A <FLAME ARRESTOR> is an <ARTEFACT> and an <ARRESTOR> that is a trap covering an opening, e.g of a ventilation system or a pipe, to prevent flames from entering the system"
flame arrestor,FLAME ARRESTOR,,"An arrestor which is a trap over an opening, e.g. of a ventilation system or a pipe, to prevent flames from entering the system"
LOCK,ARRESTOR,DOOR LOCK,"A <LOCK> is an <ARTEFACT> and an <ARRESTOR> and that is intended to secure against opening (as for a door), operated by a key or a combination"
DOOR LOCK,LOCK,,A <DOOR LOCK> is a <LOCK> which is intended for a door
LOCK AND DOOR CLOSER ASSEMBLY,ARRESTOR,"LOCK NS 3620 CLASS 3 AND DOOR CLOSER NS 3420-R61.2:1999, LOCK NS 3620 CLASS 4 AND DOOR CLOSER NS 3420-R61.2:1999",A <LOCK AND DOOR CLOSER ASSEMBLY> is an <ARTEFACT> and an <ARRESTOR> and that is an assembly of a door lock and a door closer
LOCK NS 3620 CLASS 3 AND DOOR CLOSER NS 3420-R61.2:1999,LOCK AND DOOR CLOSER ASSEMBLY,,A <LOCK NS 3620 CLASS 3 AND DOOR CLOSER NS 3420-R61.2:1999> is a <LOCK AND DOOR CLOSER ASSEMBLY> complying with NS 3620 Class 3 and door closers conforming to NS 3420-R61.2:1999
LOCK NS 3620 CLASS 4 AND DOOR CLOSER NS 3420-R61.2:1999,LOCK AND DOOR CLOSER ASSEMBLY,,A <LOCK NS 3620 CLASS 4 AND DOOR CLOSER NS 3420-R61.2:1999> is a <LOCK AND DOOR CLOSER ASSEMBLY> complying with NS 3620 Class 4 and door closers conforming to NS 3420-R61.2:1999
SPARK ARRESTOR,ARRESTOR,spark arrestor,A <SPARK ARRESTOR>  is an <ARTEFACT> and an <ARRESTOR> that removes incandescent particles from a gas stream. Spark arrestors are fitted to vehicles and stationary engines which are operated in potentially flammable atmospheres
spark arrestor,SPARK ARRESTOR,,A device which removes incandescent particles from a gas stream. Spark arrestors are fitted to vehicles and stationary engines which are operated in potentially flammable atmospheres
arrestor,ARRESTOR,,A physical object intended to prevent something to pass
ATOMISER,,,An <ATOMISER> is a <FunctionalObject> that has the capability of <ATOMISING>
ATTENUATOR,,"SOUND ATTENUATOR, TELECOMMUNICATIONS ATTENUATOR",An <ATTENUATOR> is a <FunctionalObject> that is capable of <ATTENUATING>
TELECOMMUNICATIONS ATTENUATOR,ATTENUATOR,attenuator,"A <TELECOMMUNICATIONS ATTENUATOR> is an <ARTEFACT> and an <ATTENUATOR> that is a telecommunication device that reduces the amplitude of a signal without appreciably distorting its waveform. Attenuators are usually passive devices. The degree of attenuation may be fixed, continuously adjustable, or incrementally adjustable"
attenuator,TELECOMMUNICATIONS ATTENUATOR,,"An attenuator is a telecommunication device that reduces the amplitude of a signal without appreciably distorting its waveform. Attenuators are usually passive devices. The degree of attenuation may be fixed, continuously adjustable, or incrementally adjustable"
AUTHOR,,,An <AUTHOR> is a <FunctionalObject> that is capable of <AUTHORING>
BALANCER,,"COUNTERWEIGHT, PRESSURE BALANCING TUBE, BALANCE COUNTER DISC, THRUST BALANCE ASSEMBLY, BALANCING WEIGHT, AIR BALANCING UNIT, BALANCING RING, BALANCING BUS, BALANCING GEAR",A <BALANCER> is a <FunctionalObject> that is capable of <BALANCING> some phenomenon
AIR BALANCING UNIT,BALANCER,air balancing unit,"An <AIR BALANCING UNIT> is an <ARTEFACT> and a <BALANCER> where counterbalance is provided by a pneumatic cylinder charged with air, eliminating the need for counterweights"
air balancing unit,AIR BALANCING UNIT,,An air balancing unit on a nodding donkey
BALANCE COUNTER DISC,BALANCER,,A <BALANCE COUNTER DISC> is a <DISC> and a <BALANCER> intended to balance the shaft and is attached to a <SHAFT>
BALANCING BUS,"BALANCER, ELECTRICAL NODE",,"A <BALANCING BUS> is an <ARTEFACT> and a <BALANCER> and an <ELECTRICAL NODE>, that is the node of a network the input power of which is controlled so as to equalise the sum of all other input powers and of the active power losses of the network"
BALANCING GEAR,BALANCER,,A <BALANCING GEAR> is an <ARTEFACT> and a <BALANCER>  with rotating weight(s) which reduces internal mass forces in a reciprocating piston engine
BALANCING RING,BALANCER,,A <BALANCING RING> is an <ARTEFACT> and a <BALANCER>   that is a disc or collar intended to be fastened to a pump shaft to balance the thrust from the impellers
BALANCING WEIGHT,BALANCER,CROSSHEAD BALANCING WEIGHT,A <BALANCING WEIGHT> is an <ARTEFACT> and a <BALANCER> intended to compensate (counter) unbalanced masses and subsequent dynamic forces
